,Player_ID,GAME_DATE,MIN,REB,FGA,DAYS_REST
284,201935,2012-12-29,31,3,17,-2
285,201935,2012-12-28,41,5,22,-1
286,201935,2012-12-26,38,6,22,-2
287,201935,2012-12-25,36,5,13,-1
288,201935,2012-12-22,30,2,13,-3
289,201935,2012-12-19,37,2,12,-3
290,201935,2012-12-17,38,10,18,-2
291,201935,2012-12-16,41,4,18,-1
292,201935,2012-12-14,38,5,17,-2
293,201935,2012-12-12,39,4,20,-2
294,201935,2012-12-08,46,6,17,-4
295,201935,2012-12-07,34,3,16,-1
296,201935,2012-12-04,38,10,19,-3
297,201935,2012-12-01,39,2,16,-3
298,201935,2012-11-28,39,2,16,-3
299,201935,2012-11-27,44,6,19,-1
300,201935,2012-11-23,39,4,15,-4
301,201935,2012-11-21,42,4,14,-2
302,201935,2012-11-19,17,2,6,-2
303,201935,2012-11-18,38,2,18,-1
304,201935,2012-11-16,43,6,18,-2
305,201935,2012-11-14,39,3,20,-2
306,201935,2012-11-12,40,3,17,-2
307,201935,2012-11-10,35,5,14,-2
308,201935,2012-11-09,41,4,18,-1
309,201935,2012-11-07,38,3,15,-2
310,201935,2012-11-03,41,6,24,-4
311,201935,2012-11-02,40,7,19,-1
312,201935,2012-10-31,44,6,25,-2
313,2546,2013-04-14,30,5,23,0
314,2546,2013-04-12,30,14,24,-2
315,2546,2013-04-11,45,19,34,-1
316,2546,2013-04-09,31,8,21,-2
317,2546,2013-04-07,37,12,29,-2
318,2546,2013-04-05,37,14,28,-2
319,2546,2013-04-03,41,5,27,-2
320,2546,2013-04-02,40,2,26,-1
321,2546,2013-03-31,27,10,19,-2
322,2546,2013-03-29,36,11,28,-2
323,2546,2013-03-27,40,7,20,-2
324,2546,2013-03-26,36,8,30,-1
325,2546,2013-03-23,30,8,19,-3
326,2546,2013-03-22,43,6,31,-1
327,2546,2013-03-20,33,8,14,-2
328,2546,2013-03-13,22,5,12,-7
329,2546,2013-03-11,34,10,15,-2
330,2546,2013-03-04,14,1,5,-7
331,2546,2013-03-03,42,2,19,-1
332,2546,2013-03-01,43,6,24,-2
333,2546,2013-02-27,40,1,26,-2
334,2546,2013-02-24,40,7,18,-3
335,2546,2013-02-22,42,6,24,-2
336,2546,2013-02-20,28,6,21,-2
337,2546,2013-02-13,41,12,24,-7
338,2546,2013-02-10,43,8,26,-3
339,2546,2013-02-08,40,9,26,-2
340,2546,2013-02-06,44,9,23,-2
341,2546,2013-02-04,37,7,17,-2
342,2546,2013-02-02,27,3,12,-2
343,2546,2013-02-01,44,8,22,-1
344,2546,2013-01-30,39,7,17,-2
345,2546,2013-01-27,44,5,28,-3
346,2546,2013-01-26,39,9,28,-1
347,2546,2013-01-24,41,9,28,-2
348,2546,2013-01-21,45,3,29,-3
349,2546,2013-01-17,40,3,19,-4
350,2546,2013-01-13,40,7,25,-4
351,2546,2013-01-11,45,8,32,-2
352,2546,2013-01-07,37,3,26,-4
353,2546,2013-01-05,45,6,29,-2
354,2546,2013-01-03,36,8,20,-2
355,2546,2013-01-01,41,7,24,-2
356,2546,2012-12-25,43,7,23,-7
357,2546,2012-12-23,44,7,25,-2
358,2546,2012-12-21,37,3,25,-2
359,2546,2012-12-19,36,3,22,-2
360,2546,2012-12-13,23,3,15,-6
361,2546,2012-12-11,44,5,24,-2
362,2546,2012-12-09,39,6,24,-2
363,2546,2012-12-05,38,3,22,-4
364,2546,2012-12-02,38,6,27,-3
365,2546,2012-11-30,28,5,13,-2
366,2546,2012-11-28,30,8,18,-2
367,2546,2012-11-26,50,13,25,-2
368,2546,2012-11-25,32,2,18,-1
369,2546,2012-11-23,35,4,24,-2
370,2546,2012-11-21,41,6,16,-2
371,2546,2012-11-20,28,6,22,-1
372,2546,2012-11-18,31,9,22,-2
373,2546,2012-11-16,30,3,14,-2
374,2546,2012-11-15,41,12,12,-1
375,2546,2012-11-13,43,8,22,-2
376,2546,2012-11-09,34,7,22,-4
377,2546,2012-11-05,30,7,16,-4
378,2546,2012-11-04,39,5,18,-1
379,2546,2012-11-02,39,10,28,-2
380,201566,2013-04-17,7,0,5,0
381,201566,2013-04-15,36,5,19,-2
382,201566,2013-04-12,31,1,18,-3
383,201566,2013-04-11,30,3,17,-1
384,201566,2013-04-09,37,5,21,-2
385,201566,2013-04-07,34,11,27,-2
386,201566,2013-04-05,34,7,24,-2
387,201566,2013-04-04,35,7,21,-1
388,201566,2013-03-30,37,13,18,-5
389,201566,2013-03-29,32,4,17,-1
390,201566,2013-03-27,25,4,8,-2
391,201566,2013-03-24,34,4,18,-3
392,201566,2013-03-22,35,6,17,-2
393,201566,2013-03-20,41,4,25,-2
394,201566,2013-03-19,37,4,21,-1
395,201566,2013-03-17,37,6,23,-2
396,201566,2013-03-15,37,6,19,-2
397,201566,2013-03-13,28,7,11,-2
398,201566,2013-03-11,38,6,27,-2
399,201566,2013-03-10,34,1,11,-1
400,201566,2013-03-08,25,3,11,-2
401,201566,2013-03-07,36,6,22,-1
402,201566,2013-03-05,36,10,29,-2
403,201566,2013-03-03,40,6,20,-2
404,201566,2013-03-01,38,6,23,-2
405,201566,2013-02-27,26,3,17,-2
406,201566,2013-02-24,32,1,17,-3
407,201566,2013-02-22,35,7,22,-2
408,201566,2013-02-20,42,10,20,-2
409,201566,2013-02-14,44,5,19,-6
410,201566,2013-02-12,32,3,14,-2
411,201566,2013-02-10,28,1,15,-2
412,201566,2013-02-08,25,5,14,-2
413,201566,2013-02-06,30,3,19,-2
414,201566,2013-02-04,29,3,16,-2
415,201566,2013-02-02,35,2,22,-2
416,201566,2013-01-31,31,9,17,-2
417,201566,2013-01-27,39,9,22,-4
418,201566,2013-01-25,32,4,18,-2
419,201566,2013-01-23,36,5,16,-2
420,201566,2013-01-22,38,4,19,-1
421,201566,2013-01-20,48,8,26,-2
