
1/4/13,Grizzlies,,Zach Randolph,flu (DNP)
1/4/13,Hawks,,Anthony Morrow,strained right hip (DNP)
1/4/13,Hawks,,Johan Petro,sore back / flu (DNP)
1/4/13,Jazz,,Enes Kanter,sprained right ankle (DNP)
1/4/13,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
1/4/13,Kings,,Marcus Thornton ,sprained left ankle (DNP)
1/4/13,Nets,,Kris Humphries,placed on IL with sprained left ankle
1/4/13,Nets,Jerry Stackhouse,,activated from IL
1/4/13,Pacers,,Miles Plumlee,placed on IL
1/4/13,Pacers,,Sam Young,sprained left ankle (DNP)
1/4/13,Pistons,,Khris Middleton,placed on IL
1/4/13,Pistons,Rodney Stuckey,,activated from IL
1/4/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/4/13,Wizards,,A.J. Price,fractured right hand (DNP)
1/4/13,Wizards,,Trevor Ariza,strained left calf (DNP)
1/4/13,Pacers,Orlando Johnson,,activated from IL
1/5/13,Bucks,,Ersan Ilyasova,placed on IL with sprained right ankle
1/5/13,Bucks,,Sam Young,sprained left ankle (DNP)
1/5/13,Bucks,Doron Lamb,,activated from IL
1/5/13,Cavaliers,,Samardo Samuels,illness (DNP)
1/5/13,Clippers,,Jamal Crawford,sore left foot (DNP)
1/5/13,Hawks,,Anthony Morrow,strained right hip (DNP)
1/5/13,Jazz,,Enes Kanter,sprained right ankle (DNP)
1/5/13,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
1/5/13,Kings,,Marcus Thornton ,sprained left ankle (DNP)
1/5/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/5/13,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/5/13,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/5/13,Spurs,,Stephen Jackson,sprained right ankle (DNP)
1/5/13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/5/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/5/13,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/6/13,Bobcats,,Hakim Warrick,placed on IL with illness
1/6/13,Pistons,,Corey Maggette,placed on IL with flu
1/6/13,Pistons,Khris Middleton,,activated from IL
1/6/13,Raptors,,Aaron Gray,flu (DNP)
1/6/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/6/13,Wizards,,A.J. Price,fractured right hand (DNP)
1/6/13,Wizards,,Trevor Ariza,strained left calf (DNP)
1/7/13,Blazers,,Will Barton,placed on IL
1/7/13,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
1/7/13,Kings,,Marcus Thornton ,placed on IL with sprained left ankle
1/7/13,Kings,Tyreke Evans,,activated from IL
1/7/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/7/13,Magic,,E'Twaun Moore,strained left elbow (DNP)
1/7/13,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/7/13,Mavericks,Jared Cunningham,,activated from IL
1/7/13,Wizards,,Cartier Martin,hyperextended left knee (DNP)
1/7/13,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/7/13,Wizards,,Nene Hilario ,right knee tendinitis (DNP)
1/7/13,Cavaliers,Jon Leuer,,activated from IL
1/8/13,76ers,Arnett Moultrie,,activated from IL
1/8/13,Bucks,,Doron Lamb,placed on IL
1/8/13,Bucks,Ersan Ilyasova,,activated from IL
1/8/13,Hawks,,Johan Petro,sore back (DNP)
1/8/13,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/8/13,Lakers,,Jordan Hill,right hip injury (DNP)
1/8/13,Lakers,,Pau Gasol,concussion (DNP)
1/8/13,Nets,Kris Humphries,,activated from IL
1/8/13,Rockets,,Patrick Beverley,placed on IL
1/8/13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/8/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/9/13,Bulls,,Kirk Hinrich,right elbow injury (DNP)
1/9/13,Cavaliers,,C.J. Miles,back spasms (DNP)
1/9/13,Hawks,,Anthony Morrow,strained right hip (DNP)
1/9/13,Hawks,,DeShawn Stevenson,placed on IL with knee injury
1/9/13,Hawks,Devin Harris,,activated from IL
1/9/13,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/9/13,Jazz,,Mo Williams,placed on IL recovering from surgery on right thumb
1/9/13,Jazz,Kevin Murphy,,activated from IL
1/9/13,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/9/13,Lakers,,Jordan Hill,left hip injury (DNP)
1/9/13,Lakers,,Pau Gasol,concussion (DNP)
1/9/13,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/9/13,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/9/13,Magic,,Hedo Turkoglu,left hand injury (DTD)
1/9/13,Mavericks,,Bernard James,placed on IL
1/9/13,Mavericks,,Jared Cunningham,placed on IL
